Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-Feb-00,185,188,180,182.6,184.2299253,1391426,5289,256342308,,,8,-2.4
18-Feb-00,184,184.45,173.15,174.1,177.2297365,2116629,6612,375129600,,,11.3,-9.9
21-Feb-00,178,180,173,174.25,176.193077,1312725,5610,231293057,,,7,-3.75
22-Feb-00,175,178,167.05,169,173.0512427,1778928,6621,307845701,,,10.95,-6
23-Feb-00,170,173.8,159.1,160.9,166.3463686,1048441,4036,174404353,,,14.7,-9.1
24-Feb-00,163,165.5,160,163.75,162.9794747,968854,4386,157903316,,,5.5,0.75
25-Feb-00,163,173,161.1,163.2,167.5260865,2827138,8866,473619365,,,11.9,0.2
28-Feb-00,168,174.5,167,174.1,171.9458484,1755313,6148,301818783,,,7.5,6.1
29-Feb-00,174.6,179.5,160.2,160.2,173.0961576,2366626,8444,409653867,,,19.3,-14.4
1-Mar-00,160.1,163.9,154,161.3,160.3649616,1128275,4683,180935777,,,9.9,1.2
2-Mar-00,161.95,163.2,148.4,148.4,152.6640924,1878886,6436,286838426,,,14.8,-13.55
3-Mar-00,144.6,146.5,136.55,136.55,138.5918201,1105047,3370,153150475,,,9.95,-8.05
6-Mar-00,147.45,147.45,146.1,147.45,147.4195996,318456,479,46946656,,,1.35,0
7-Mar-00,155.1,159.2,141.5,154,151.0923497,2656250,7667,401339054,,,17.7,-1.1
8-Mar-00,153,153,142.1,143.1,147.9358855,760062,3285,112440445,,,10.9,-9.9
9-Mar-00,146,146,136,138.5,139.9091871,650866,3113,91062133,,,10,-7.5
10-Mar-00,139,139.1,130,131.35,133.7530488,1332907,4201,178280375,,,9.1,-7.65
13-Mar-00,134,137.7,125.75,128.45,132.2311739,528654,2576,69904539,,,11.95,-5.55
14-Mar-00,128.5,138.25,127,134.9,134.0775257,1573916,5471,211026763,,,11.25,6.4
15-Mar-00,134,144.2,134,135.7,138.5934367,1133570,4886,157105362,,,10.2,1.7
16-Mar-00,134.5,136.3,128,128,130.5205618,1455906,5436,190025669,,,8.3,-6.5
21-Mar-00,132,132.5,126.3,128.85,128.7820503,2169156,5204,279348357,,,6.2,-3.15
22-Mar-00,129.4,139.1,129.4,139.1,135.1502033,1888900,6159,255285219,,,9.7,9.7
23-Mar-00,141.9,143,135,135,137.587371,1062567,4342,146195800,,,8,-6.9
24-Mar-00,136.75,137,132.1,133.7,134.6130402,934278,2169,125766002,,,4.9,-3.05
27-Mar-00,137,139.9,130.25,131.85,134.8881068,740063,3405,99825697,,,9.65,-5.15
28-Mar-00,130.95,137.5,127,137.4,134.0040593,1594119,6205,213618417,,,10.5,6.45
29-Mar-00,137.8,138.4,129.05,130.45,133.8019529,720869,3509,96453680,,,9.35,-7.35
30-Mar-00,130,132.85,127,131.5,130.1361384,745146,3190,96970423,,,5.85,1.5
31-Mar-00,129.15,142,128,140.4,137.634252,2310908,7417,318060094,,,14,11.25
3-Apr-00,141,151.6,140,151.6,148.1415117,1301970,3709,192875804,,,11.6,10.6
4-Apr-00,155,159.85,139.5,143.95,148.241156,6353568,20961,941860265,,,20.35,-11.05
5-Apr-00,145.8,155.45,140,155.45,150.3100063,2880661,9826,432992173,,,15.45,9.65
6-Apr-00,161.4,163.9,150,154.75,156.549633,3421925,13083,535701103,,,13.9,-6.65
7-Apr-00,156.5,167.1,155.9,167.1,164.1450707,2561309,8974,420426247,,,11.2,10.6
10-Apr-00,169.8,175,164,166,169.348082,4884691,17616,827213052,,,11,-3.8
11-Apr-00,165,165,157.05,160,161.032225,1304298,5917,210034009,,,7.95,-5
12-Apr-00,159,162,154.2,154.8,157.6982307,1011498,4273,159511445,,,7.8,-4.2
13-Apr-00,154,154,143.75,145.25,146.2472964,1325717,5140,193882527,,,10.25,-8.75
13-Apr-00,147,147,147,147,147,50750,1,7460250,,,0,0
